NAME,lat,lng,index,group
邵阳,27.25482,111.4742,278,null
益阳,28.59404,112.3612,279,null
郴州,25.82592,113.0208,280,null
永州,26.35018,111.612,281,null
怀化,27.55854,109.9786,282,null
娄底,27.72854,111.9916,283,null
湘西州,28.280067,109.689667,284,null
梧州,23.46215,111.27575,285,null
防城港,21.673433,108.347667,286,null
钦州,21.886867,108.626,287,null
贵港,23.10325,109.58525,288,null
玉林,22.653133,110.140667,289,null
百色,23.89275,106.6315,290,null
贺州,24.41235,111.5445,291,null
河池,24.700533,108.122667,292,null
来宾,23.72885,109.2225,293,null
崇左,22.39225,107.359,294,null
广元,32.437375,105.849,295,null
遂宁,30.575675,105.711,296,cheng-yu
内江,29.588475,105.05275,297,cheng-yu
乐山,29.5738,103.7605,298,cheng-yu
眉山,30.067275,103.85625,299,cheng-yu
广安,30.47628,106.6336,300,cheng-yu
达州,31.22138,107.5034,301,cheng-yu
雅安,29.99185,103.00525,302,cheng-yu
巴中,31.854325,106.75425,303,null
资阳,30.133,104.6406,304,cheng-yu
阿坝州,31.908167,102.212333,305,null
甘孜州,30.04905,101.9615,306,null
凉山州,27.8656,102.275,307,null
六盘水,26.58296,104.8644,308,null
安顺,26.247775,105.927,309,null
铜仁地区,27.7264,109.1855,310,null
毕节,27.30345,105.298,311,null
黔西南州,25.09585,104.8915,312,null
黔东南州,26.5735,107.9685,313,null
黔南州,26.2403,107.523,314,null
保山,25.12045,99.16945,315,null
昭通,27.33765,103.713,316,null
丽江,26.876133,100.228,317,null
普洱,22.79775,100.981,318,null
临沧,23.8902,100.0825,319,null
楚雄州,25.04665,101.543,320,null
红河州,23.426233,103.358,321,null
文山州,23.3743,104.2425,322,null
西双版纳州,22.0122,100.798,323,null
大理州,25.64325,100.1855,324,null
德宏州,24.4345,98.5811,325,null
怒江州,25.8492,98.85735,326,null
迪庆州,27.82265,99.706,327,null
昌都地区,31.1266,97.18065,328,null
山南地区,29.24615,91.7657,329,null
日喀则地区,29.25415,88.89035,330,null
那曲地区,31.47895,92.0581,331,null
阿里地区,32.50195,80.1028,332,null
林芝地区,29.6504,94.36485,333,null
汉中,33.100225,107.005,334,null
榆林,38.2893,109.7375,335,null
安康,32.689733,109.022,336,null
商洛,33.8612,109.9405,337,null
白银,36.54695,104.173,338,null
天水,34.497867,105.864667,339,null
武威,37.93345,102.6345,340,null
张掖,38.9428,100.4595,341,null
平凉,35.53775,106.6865,342,null
酒泉,39.7377,98.50565,343,null
庆阳,35.653067,107.653333,344,null
定西,35.58445,104.62,345,null
陇南,33.358,105.011,346,null
临夏州,35.6018,103.21,347,null
甘南州,35.0003,102.905,348,null
海东地区,36.4997,102.109,349,null
海北州,36.9639,100.905,350,null
黄南州,35.5102,102.02,351,null
海南州,36.2866,100.619,352,null
果洛州,34.4714,100.256,353,null
玉树州,33.0014,97,354,null
海西州,37.3753,97.3731,355,null
吴忠,37.973833,106.183667,356,null
中卫,37.322933,105.132333,357,null
固原,36.055,106.249667,358,null
吐鲁番地区,42.9484,89.17915,359,null
哈密地区,42.825,93.50445,360,null
昌吉州,44.065833,87.520367,361,null
博州,44.9024,82.06455,362,null
阿克苏地区,41.17845,80.2892,363,null
克州,39.7153,76.1861,364,null
喀什地区,39.481167,75.9678,365,null
和田地区,37.10825,79.9301,366,null
伊犁哈萨克州,43.925467,81.301533,367,null
塔城地区,46.7432,82.9994,368,null
阿勒泰地区,47.8781,88.12405,369,null
石河子,44.3021,86.0597,370,null
五家渠,44.1756,87.5475,371,null
攀枝花,26.567,101.723,372,null
厦门,24.5058,118.094,373,null
广州,23.1323,113.321,375,zhu-san-jiao
